date,window_start,true_label,pred_label,confidence,n_retrieved,method
2008/1/7,2007/10/8,bear,bull,1,5,feature_knn_balanced_alpha1.0
2008/1/14,2007/10/15,bear,bear,0.9997,6,feature_knn_balanced_alpha1.0
2008/1/22,2007/10/22,bull,bear,0.9977,7,feature_knn_balanced_alpha1.0
2008/1/29,2007/10/29,bear,bear,0.9962,7,feature_knn_balanced_alpha1.0
2008/2/5,2007/11/5,bear,bear,0.9975,8,feature_knn_balanced_alpha1.0
2008/2/12,2007/11/12,bear,bear,0.9976,9,feature_knn_balanced_alpha1.0
2008/2/20,2007/11/19,bear,bear,0.9829,10,feature_knn_balanced_alpha1.0
2008/2/27,2007/11/27,bear,bear,0.9899,10,feature_knn_balanced_alpha1.0
2008/3/5,2007/12/4,bear,bear,0.9966,10,feature_knn_balanced_alpha1.0
2008/3/12,2007/12/11,bear,bear,0.9976,10,feature_knn_balanced_alpha1.0
2008/3/19,2007/12/18,bear,bear,0.9979,10,feature_knn_balanced_alpha1.0
2008/3/27,2007/12/26,bear,bear,0.9985,10,feature_knn_balanced_alpha1.0
2008/4/3,2008/1/3,bear,bear,0.9863,10,feature_knn_balanced_alpha1.0
2008/4/10,2008/1/10,bear,bear,0.9899,10,feature_knn_balanced_alpha1.0
2008/4/17,2008/1/17,bull,bear,0.9839,10,feature_knn_balanced_alpha1.0
2008/4/24,2008/1/25,bull,bear,0.9446,10,feature_knn_balanced_alpha1.0
2008/5/1,2008/2/1,bull,bear,0.8875,10,feature_knn_balanced_alpha1.0
2008/5/8,2008/2/8,bull,bear,0.8013,10,feature_knn_balanced_alpha1.0
2008/5/15,2008/2/15,bull,bear,0.6616,10,feature_knn_balanced_alpha1.0
2008/5/22,2008/2/25,bull,bear,0.7844,10,feature_knn_balanced_alpha1.0
2008/5/30,2008/3/3,bull,bear,0.5843,10,feature_knn_balanced_alpha1.0
2008/6/6,2008/3/10,bull,bear,0.7705,10,feature_knn_balanced_alpha1.0
2008/6/13,2008/3/17,bull,bear,0.6771,10,feature_knn_balanced_alpha1.0
2008/6/20,2008/3/25,bear,bear,0.9108,10,feature_knn_balanced_alpha1.0
2008/6/27,2008/4/1,bear,bear,0.9835,10,feature_knn_balanced_alpha1.0
2008/7/7,2008/4/8,bear,bear,0.9937,10,feature_knn_balanced_alpha1.0
2008/7/14,2008/4/15,bear,bear,0.9951,10,feature_knn_balanced_alpha1.0
2008/7/21,2008/4/22,bear,bear,0.9964,10,feature_knn_balanced_alpha1.0
2008/7/28,2008/4/29,bear,bear,0.9985,10,feature_knn_balanced_alpha1.0
2008/8/4,2008/5/6,bear,bear,0.9983,10,feature_knn_balanced_alpha1.0
2008/8/11,2008/5/13,bear,bear,0.979,10,feature_knn_balanced_alpha1.0
2008/8/18,2008/5/20,bear,bear,0.9957,10,feature_knn_balanced_alpha1.0
2008/8/25,2008/5/28,bear,bear,0.996,10,feature_knn_balanced_alpha1.0
2008/9/2,2008/6/4,bear,bear,0.9964,10,feature_knn_balanced_alpha1.0
2008/9/9,2008/6/11,bear,bear,0.9933,10,feature_knn_balanced_alpha1.0
2008/9/16,2008/6/18,bear,bear,0.9939,10,feature_knn_balanced_alpha1.0
2008/9/23,2008/6/25,bear,bear,0.9948,10,feature_knn_balanced_alpha1.0
2008/9/30,2008/7/2,bear,bear,0.9982,10,feature_knn_balanced_alpha1.0
2008/10/7,2008/7/10,bear,bear,0.9997,10,feature_knn_balanced_alpha1.0
2008/10/14,2008/7/17,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/10/21,2008/7/24,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/10/28,2008/7/31,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/11/4,2008/8/7,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/11/11,2008/8/14,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/11/18,2008/8/21,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/11/25,2008/8/28,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/12/3,2008/9/5,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/12/10,2008/9/12,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/12/17,2008/9/19,bear,bear,1,10,feature_knn_balanced_alpha1.0
2008/12/24,2008/9/26,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/1/2,2008/10/3,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/1/9,2008/10/10,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/1/16,2008/10/17,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/1/26,2008/10/24,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/2/2,2008/10/31,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/2/9,2008/11/7,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/2/17,2008/11/14,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/2/24,2008/11/21,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/3/3,2008/12/1,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/3/10,2008/12/8,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/3/17,2008/12/15,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/3/24,2008/12/22,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/3/31,2008/12/30,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/4/7,2009/1/7,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/4/15,2009/1/14,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/4/22,2009/1/22,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/4/29,2009/1/29,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/5/6,2009/2/5,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/5/13,2009/2/12,bear,bear,1,10,feature_knn_balanced_alpha1.0
2009/5/20,2009/2/20,bear,bear,0.9997,10,feature_knn_balanced_alpha1.0
2009/5/28,2009/2/27,bear,bear,0.9989,10,feature_knn_balanced_alpha1.0
2009/6/4,2009/3/6,bear,bear,0.9954,10,feature_knn_balanced_alpha1.0
2009/6/11,2009/3/13,bear,bear,0.9954,10,feature_knn_balanced_alpha1.0
2009/6/18,2009/3/20,bear,bear,0.997,10,feature_knn_balanced_alpha1.0
2009/6/25,2009/3/27,bear,bear,0.988,10,feature_knn_balanced_alpha1.0
2009/7/2,2009/4/3,bull,bear,0.9933,10,feature_knn_balanced_alpha1.0
2009/7/10,2009/4/13,bull,bear,0.9598,10,feature_knn_balanced_alpha1.0
2009/7/17,2009/4/20,bull,bear,0.9253,10,feature_knn_balanced_alpha1.0
2009/7/24,2009/4/27,bull,bear,0.7411,10,feature_knn_balanced_alpha1.0
2009/7/31,2009/5/4,bull,bull,0.507,10,feature_knn_balanced_alpha1.0
2009/8/7,2009/5/11,bull,bull,0.7072,10,feature_knn_balanced_alpha1.0
2009/8/14,2009/5/18,bull,bull,0.7625,10,feature_knn_balanced_alpha1.0
2009/8/21,2009/5/26,bull,bull,0.8545,10,feature_knn_balanced_alpha1.0
2009/8/28,2009/6/2,bull,bull,0.8559,10,feature_knn_balanced_alpha1.0
2009/9/4,2009/6/9,bull,bull,0.8046,10,feature_knn_balanced_alpha1.0
2009/9/14,2009/6/16,bull,bull,0.9446,10,feature_knn_balanced_alpha1.0
2009/9/21,2009/6/23,bull,bull,0.9614,10,feature_knn_balanced_alpha1.0
2009/9/28,2009/6/30,bull,bull,0.9535,10,feature_knn_balanced_alpha1.0
2009/10/5,2009/7/8,bull,bull,0.9869,10,feature_knn_balanced_alpha1.0
2009/10/12,2009/7/15,bull,bull,0.9941,10,feature_knn_balanced_alpha1.0
2009/10/19,2009/7/22,bull,bull,0.9963,10,feature_knn_balanced_alpha1.0
2009/10/26,2009/7/29,bull,bull,0.9754,10,feature_knn_balanced_alpha1.0
2009/11/2,2009/8/5,bull,bull,0.8238,10,feature_knn_balanced_alpha1.0
2009/11/9,2009/8/12,bull,bull,0.9807,10,feature_knn_balanced_alpha1.0
2009/11/16,2009/8/19,bull,bull,0.9949,10,feature_knn_balanced_alpha1.0
2009/11/23,2009/8/26,bull,bull,0.9883,10,feature_knn_balanced_alpha1.0
2009/12/1,2009/9/2,bull,bull,0.9913,10,feature_knn_balanced_alpha1.0
2009/12/8,2009/9/10,bull,bull,0.9772,10,feature_knn_balanced_alpha1.0
2009/12/15,2009/9/17,bull,bull,0.9847,10,feature_knn_balanced_alpha1.0
2009/12/22,2009/9/24,bull,bull,0.9927,10,feature_knn_balanced_alpha1.0
2009/12/30,2009/10/1,bull,bull,0.9955,10,feature_knn_balanced_alpha1.0
2010/1/7,2009/10/8,bull,bull,0.9944,10,feature_knn_balanced_alpha1.0
2010/1/14,2009/10/15,bull,bull,0.9959,10,feature_knn_balanced_alpha1.0
2010/1/22,2009/10/22,bull,bull,0.9212,10,feature_knn_balanced_alpha1.0
2010/1/29,2009/10/29,bull,bull,0.9044,10,feature_knn_balanced_alpha1.0
2010/2/5,2009/11/5,bull,bull,0.892,10,feature_knn_balanced_alpha1.0
2010/2/12,2009/11/12,bull,bull,0.921,10,feature_knn_balanced_alpha1.0
2010/2/22,2009/11/19,bull,bull,0.9058,10,feature_knn_balanced_alpha1.0
2010/3/1,2009/11/27,bull,bull,0.9629,10,feature_knn_balanced_alpha1.0
2010/3/8,2009/12/4,bull,bull,0.9878,10,feature_knn_balanced_alpha1.0
