date,window_start,true_label,pred_label,confidence,n_retrieved,method
2008-01-07,2007-10-08,bear,bull,1.0,5,rule_based_temporal_rag
2008-01-14,2007-10-15,bear,bull,1.0,5,rule_based_temporal_rag
2008-01-22,2007-10-22,bull,bull,1.0,5,rule_based_temporal_rag
2008-01-29,2007-10-29,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-05,2007-11-05,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-12,2007-11-12,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-20,2007-11-19,bear,bull,1.0,5,rule_based_temporal_rag
2008-02-27,2007-11-27,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-05,2007-12-04,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-12,2007-12-11,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-19,2007-12-18,bear,bull,1.0,5,rule_based_temporal_rag
2008-03-27,2007-12-26,bear,bull,1.0,5,rule_based_temporal_rag
2008-04-03,2008-01-03,bear,bull,1.0,5,rule_based_temporal_rag
2008-04-10,2008-01-10,bear,bull,1.0,5,rule_based_temporal_rag
2008-04-17,2008-01-17,bull,bull,1.0,5,rule_based_temporal_rag
2008-04-24,2008-01-25,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-01,2008-02-01,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-08,2008-02-08,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-15,2008-02-15,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-22,2008-02-25,bull,bull,1.0,5,rule_based_temporal_rag
2008-05-30,2008-03-03,bull,bull,1.0,5,rule_based_temporal_rag
2008-06-06,2008-03-10,bull,bull,1.0,5,rule_based_temporal_rag
2008-06-13,2008-03-17,bull,bull,1.0,5,rule_based_temporal_rag
2008-06-20,2008-03-25,bear,bull,1.0,5,rule_based_temporal_rag
2008-06-27,2008-04-01,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-07,2008-04-08,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-14,2008-04-15,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-21,2008-04-22,bear,bull,1.0,5,rule_based_temporal_rag
2008-07-28,2008-04-29,bear,bull,1.0,5,rule_based_temporal_rag
2008-08-04,2008-05-06,bear,bull,1.0,5,rule_based_temporal_rag
2008-08-11,2008-05-13,bear,bull,1.0,5,rule_based_temporal_rag
2008-08-18,2008-05-20,bear,bull,0.8,5,rule_based_temporal_rag
2008-08-25,2008-05-28,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-02,2008-06-04,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-09,2008-06-11,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-16,2008-06-18,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-23,2008-06-25,bear,bull,1.0,5,rule_based_temporal_rag
2008-09-30,2008-07-02,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-07,2008-07-10,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-14,2008-07-17,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-21,2008-07-24,bear,bull,1.0,5,rule_based_temporal_rag
2008-10-28,2008-07-31,bear,bull,1.0,5,rule_based_temporal_rag
2008-11-04,2008-08-07,bear,bull,0.8,5,rule_based_temporal_rag
2008-11-11,2008-08-14,bear,bull,0.6,5,rule_based_temporal_rag
2008-11-18,2008-08-21,bear,bull,0.8,5,rule_based_temporal_rag
2008-11-25,2008-08-28,bear,bull,1.0,5,rule_based_temporal_rag
2008-12-03,2008-09-05,bear,bull,1.0,5,rule_based_temporal_rag
2008-12-10,2008-09-12,bear,bull,0.8,5,rule_based_temporal_rag
2008-12-17,2008-09-19,bear,bull,0.6,5,rule_based_temporal_rag
2008-12-24,2008-09-26,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-02,2008-10-03,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-09,2008-10-10,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-16,2008-10-17,bear,bull,1.0,5,rule_based_temporal_rag
2009-01-26,2008-10-24,bear,bull,0.8,5,rule_based_temporal_rag
2009-02-02,2008-10-31,bear,bull,1.0,5,rule_based_temporal_rag
2009-02-09,2008-11-07,bear,bull,1.0,5,rule_based_temporal_rag
2009-02-17,2008-11-14,bear,bull,1.0,5,rule_based_temporal_rag
2009-02-24,2008-11-21,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-03,2008-12-01,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-10,2008-12-08,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-17,2008-12-15,bear,bull,1.0,5,rule_based_temporal_rag
2009-03-24,2008-12-22,bear,bull,1.0,5,rule_based_temporal_rag
